fund_id,fund_key,NAV,NAV_1,NAV_3,NAV_5,NAV_10
75-1,61F36F9D3985AE81C0A801E0,207.2127,223.3032,155.4554,106.9254,67.2555
4693-1,A1C15793423AE3B5C0A80133,190.3432,218.8881,107.1514,86.0026,16.4016
4796-1,A17004FD39752C65C0A801E0,216.2601,218.4396,114.2127,97.1267,36.9176
351-1,AE253F8539D9EEF2C0A80118,206.165,217.7814,119.735,105.3102,29.4148
4806-2,C73728243A5FA016C0A80119,189.7253,217.4759,107.8367,87.0277,23.6176
4788-2,5244095D39A6FC65C0A801E1,202.5967,215.1816,75.0241,50.3294,37.6058
4789-2,4CE83FFB3C1DCC1CC0A80118,181.7573,208.5028,103.8383,83.8614,20.9137
4769-1,54103F8039DA32A1C0A80118,181.8341,208.0596,103.2276,83.5848,18.8693
4804-1,062127B13A1C6BA7C0A801E1,176.9222,201.4476,100.4066,81.9695,22.8147
4713-1,CC193BD941E5D3F3C0A80133,179.201,198.8521,84.1488,138.5017,11.6393
5618-10,E7B803D43A362C88C0A801E1,171.4373,197.8857,125.4243,61.1132,66.1326
4066-1,021008643DA6B405C0A80134,184.3323,197.6143,104.9099,90.6144,33.4678
4737-4,E0632A6841AB371FC0A80133,170.1901,195.3956,96.53,77.7578,16.1111
4818-1,D7076CA73A4114D4C0A80118,212.0449,194.5881,115.704,86.1525,14.0092
4803-1,10D446493B5F25D4C0A801E1,169.6592,194.1261,96.6049,77.5812,20.6325
4710-1,1AED68D642125928C0A80134,167.1085,192.2751,93.8862,75.2853,14.0092
4759-2,294D3F87399EF261C0A801E1,168.7646,192.0987,94.8117,77.0334,18.1356
4792-1,B0276CDB39DC8CA3C0A80118,165.5666,189.9404,99.3787,86.6062,20.5673
9-1,CAC02EC23E377F1AC0A80133,146.9802,188.3139,146.5748,100.4774,35.0473
4755-1,7BA040FC39F8BD9CC0A80118,157.2448,187.821,92.7334,73.5476,17.4503
4822-2,50D10B393A913B7FC0A801E1,167.7881,187.7927,94.0851,74.4769,21.1953
4735-1,162F434041A8B902C0A80134,163.3365,187.5575,92.5768,74.5481,15.3211
4717-1,1C641AEA39A165EDC0A801E1,211.5759,187.4659,112.76,90.5168,15.8105
4815-1,B5640A2D3C44961DC0A801E0,166.109,187.2388,95.2419,76.6822,23.4143
443-5,E11A02133A004E87C0A801E1,138.1161,187.1687,123.625,124.6038,51.0969
1096-1,D22B031A409652BEC0A80132,138.2016,186.7475,22.8917,22.5429,12.2954
4732-1,950D15A03AF97DBCC0A801E0,156.0198,184.7001,89.8531,69.2458,15.1813
4744-1,D258732A3BA6E4FFC0A801E1,199.9981,183.9875,112.093,86.1281,11.36
4767-1,571B2BE939DBF788C0A80118,159.9706,183.6745,91.7696,75.5328,17.2954
4691-1,556F182C3C545B63C0A801E0,199.8053,183.4259,111.6569,85.3579,7.5996
4826-4,E9E66BA73A231539C0A80118,163.2104,181.8161,90.949,73.6715,20.4325
4828-1,783D34E33A09DB5EC0A80119,158.4527,181.1153,99.1179,78.7533,18.3831
4835-1,38AF745F401724BAC0A80132,156.9948,180.818,91.6617,73.3059,20.6235
4092-1,405D0A783A1B466DC0A801E1,156.9089,180.4231,88.9157,70.735,18.1705
366-2,F384376239DC6BF6C0A80118,178.5397,180.339,112.3932,90.1573,19.604
4845-1,A9024CF43B7BEDE5C0A80119,158.3432,179.8728,91.7056,74.5476,20.0113
