"fund_id","fb_primarykey","FundKey","ManagerKey","AsOfDate","NAV","NAV_1","NAV_3","NAV_5","NAV_10","NAV_15","NAV_ME","NAV_QE","NAV_YE"
"7341-1","X'0AE504623A3F485CC0A80119'","0AE504623A3F485CC0A80119","DB672054399DD1B0C0A80119","42551","50.0563","36.9515","27.3824","19.656","13.4121","11.134","50.9501","44.7057","48.9992"
"401-2","X'0AEA36D23A2C01E3C0A801E0'","0AEA36D23A2C01E3C0A801E0","84226FEB39E61E2AC0A80118","42551","1.4015","1.4156","1.4442","1.4734","1.1062","3.7901","1.4026","1.405","1.4085"
"2113-1","X'0AEC5A834B04B43DC0A80135'","0AEC5A834B04B43DC0A80135","FA4A5A834B04B3C5C0A80135","42551","12.2213","12.8729","10.7138","12.078","","","12.0323","12.3308","12.4793"
"5454-4","X'0AF00B003A911DA9C0A80118'","0AF00B003A911DA9C0A80118","503410213A907E0EC0A80119","42551","54.6351","40.8376","31.7972","25.9421","15.4206","9.8557","53.1107","47.7487","50.2352"
"766-1","X'0AF120CE3AC952E8C0A80118'","0AF120CE3AC952E8C0A80118","E42A65913AA7FE48C0A80118","42551","39.7259","47.395","31.5344","25.5632","36.4045","12.2155","41.5688","44.9835","44.4936"
"1006-12","X'0AF130FE4F417D22C0A80134'","0AF130FE4F417D22C0A80134","04EF56A03B7D67E2C0A801E1","42551","13.8576","12.6843","11.4462","","","","13.4467","13.4322","12.9429"
"1538-1","X'0AF6008B444FC932C0A80133'","0AF6008B444FC932C0A80133","0A91008B444FC8F3C0A80133","42551","6.3802","7.3028","6.7657","7.7694","8.0962","","6.5129","6.5286","6.3635"
"350-6","X'0B0025D53B7611A6C0A80119'","0B0025D53B7611A6C0A80119","91A51B9339D9DAF5C0A80118","42551","10.9847","11.8374","8.8339","7.6872","8.1568","","11.409","10.9807","10.9006"
"2330-7","X'0B0761A14E25B37DC0A80134'","0B0761A14E25B37DC0A80134","57FE19EE4DFA0FB0C0A80135","42551","12.3312","14.5078","21.5824","","","","11.5231","12.3254","12.4837"
"1151-6","X'0B0A631B430B747EC0A80132'","0B0A631B430B747EC0A80132","07221E4642E548CAC0A80133","42551","19.9961","18.8324","14.9544","12.9767","10.7089","","19.5948","19.4049","18.676"
"6228-4","X'0B0C542D39733053C0A801E0'","0B0C542D39733053C0A801E0","D1C86275396F2D74C0A80118","42551","2.0706","2.0831","2.1015","2.1255","2.6223","4.4859","2.085","2.1263","2.1102"
"5632-6","X'0B11586D3FC9A87AC0A80133'","0B11586D3FC9A87AC0A80133","87284E5039D95B3FC0A80118","42551","9.0073","9.0981","9.2818","9.4696","10.1377","","9.0147","9.0298","9.0523"
"733-1","X'0B14011841D08256C0A80134'","0B14011841D08256C0A80134","EDF5011841D0816BC0A80134","42551","15.219","15.4153","14.3778","15.1891","11.9256","","14.7457","14.7211","13.9309"
