fund_id,fb_primarykey,FundKey,ManagerKey,AsOfDate,NAV,NAV_1,NAV_3,NAV_5,NAV_10,NAV_15,NAV_ME,NAV_QE,NAV_YE
1402-2,X'786A6FD53E31E964C0A80133',786A6FD53E31E964C0A80133,785A6FD53E31E8C3C0A80133,9/30/2016,24.3082,24.1738,20.0176,12.65,16.3746,,24.2359,23.2824,25.0251
456-18,X'786C33A552868D60C0A80132',786C33A552868D60C0A80132,7514023E3FE9D73CC0A80134,9/30/2016,8.4689,7.6404,,,,,8.4099,7.7691,7.6167
3896-1,X'786D0FBB5413A61BC0A86F98',786D0FBB5413A61BC0A86F98,62250FBB5413A5DAC0A86F98,9/30/2016,10.5652,10.3096,,,,,10.5321,10.4464,10.346
7747-1,X'786E493B43279E8FC0A80132',786E493B43279E8FC0A80132,757D493B43279DDFC0A80132,9/30/2016,17.6238,15.8499,13.2524,10.3034,11.637,,16.6049,15.7832,17.4746
622-4,X'786F3FA6414C83A4C0A80133',786F3FA6414C83A4C0A80133,CDB95828404754B8C0A80132,9/30/2016,22.9666,20.1475,17.173,13.0613,9.1493,,22.3482,21.4307,21.9067
4801-2,X'787225063B697F84C0A80119',787225063B697F84C0A80119,79336FDD3B82FCEFC0A801E0,9/30/2016,21.2932,18.4348,15.1792,11.6216,11.9609,7.8689,20.8082,20.7269,19.3899
1621-4,X'787272AB4523CBA9C0A80132',787272AB4523CBA9C0A80132,C2A57486451FCB85C0A80134,9/30/2016,14.9469,13.2004,11.9089,8.0574,,,15.1901,15.0696,13.8675
6025-3,X'78735A3345F69EC9C0A80134',78735A3345F69EC9C0A80134,12B26F0D450EDAB0C0A80132,9/30/2016,0.9137,1.1392,1.4312,0.9968,,,1.0873,1.087,1.963
5976-2,X'78760A0D42D7E4C9C0A80133',78760A0D42D7E4C9C0A80133,3592092642C534CAC0A80134,9/30/2016,35.8826,34.8545,24.3166,21.5324,11.0002,,33.7251,30.7299,33.0228
2987-1,X'7878519052E2F4CDC0A86F9C',7878519052E2F4CDC0A86F9C,58BB519052E2F423C0A86F9C,9/30/2016,9.7351,9.8332,,,,,9.7431,9.7596,9.8084
4096-3,X'787F20F539BE632CC0A80151',787F20F539BE632CC0A80151,9C1D5BC939B1394FC0A801E1,9/30/2016,6.2806,6.1882,5.9739,5.0757,7.4417,5.3643,6.3083,5.7711,5.749
2220-4,X'78815B6A4F0D961CC0A80134',78815B6A4F0D961CC0A80134,111336124D00182EC0A80133,9/30/2016,22.995,19.044,14.1025,,,,22.9645,19.2382,19.9277
270-6,X'7887416F39CEBE78C0A80119',7887416F39CEBE78C0A80119,537C5D7039C63CD3C0A801E0,9/30/2016,26.3053,24.3451,24.4845,15.7748,20.1848,8.8373,26.1601,25.1196,24.111
8295-6,X'788964913D3FE72EC0A80119',788964913D3FE72EC0A80119,AE256E6B3AC0A241C0A801E0,9/30/2016,14.8366,15.8882,14.4323,10.4155,13.6259,,14.7002,14.155,16.9888
198-9,X'788A02CF4730C246C0A80135',788A02CF4730C246C0A80135,BD073554399D7B1AC0A80119,9/30/2016,18.3438,14.3192,13.7979,7.6458,,,17.9406,17.1687,14.7831
7835-1,X'789322272766CBBAB4121F67',789322272766CBBAB4121F67,E8D578DE388043C8C8EE5EF1,9/30/2016,6.2192,5.0724,4.8555,3.6045,,,6.2214,6.0827,5.5773
7797-1,X'78A3107A40A80EE9C0A80132',78A3107A40A80EE9C0A80132,6C6B46563F932E0CC0A80134,9/30/2016,22.4705,21.0988,18.0111,11.2462,13.0451,,22.3712,21.4958,22.3512
6133-3,X'78AC49E14489B86CC0A80132',78AC49E14489B86CC0A80132,DB1E477F4480C3DDC0A80132,9/30/2016,26.1399,23.7345,18.6579,17.2346,10.3198,,25.2484,23.2284,24.4255
911-2,X'78AF517A3C253A9BC0A801E0',78AF517A3C253A9BC0A801E0,D6D559613B5089C2C0A80119,9/30/2016,18.2735,16.4103,17.6204,13.8283,13.1607,,18.4129,18.316,17.304
842-24,X'78B12D0D3D40938AC0A801E0',78B12D0D3D40938AC0A801E0,800033EB3B06E631C0A80119,9/30/2016,24.471,21.8963,31.0501,21.4468,25.0296,,24.375,23.1971,20.4645
6671-8,X'78B16D885665B9DEC0A86F89',78B16D885665B9DEC0A86F89,5BF1481E55FAF4A8C0A86FA6,9/30/2016,9.2441,,,,,,9.2263,9.0048,9.7759
3558-1,X'78B335CD53924DDAC0A86F98',78B335CD53924DDAC0A86F98,771135CD53924D3AC0A86F98,9/30/2016,10.9657,10.1681,,,,,10.8768,10.9057,10.7745
120-9,X'78B80EC341518816C0A80132',78B80EC341518816C0A80132,43951F5B397CAC8BC0A80118,9/30/2016,18.0936,16.0549,17.2917,15.7362,13.4326,,17.7986,17.7261,15.8871
1029-1,X'78B86AB63B93C7A5C0A80119',78B86AB63B93C7A5C0A80119,78AC6AB63B93C727C0A80119,9/30/2016,29.336,27.3705,29.0624,16.028,20.6106,10.0167,29.8896,27.7731,28.8534
996-14,X'78C021E649F2F651C0A80134',78C021E649F2F651C0A80134,5C414955425BFDB8C0A80133,9/30/2016,20.6703,20.9297,20.6035,12.7756,,,20.5422,20.5206,19.7249
1341-1,X'78C12C37436FED12C0A80134',78C12C37436FED12C0A80134,71D52C37436FEA90C0A80134,9/30/2016,19.9724,19.0475,14.9868,11.3028,10.0972,,19.3558,18.1349,19.1843
1938-1,X'78C52FA24847099AC0A80135',78C52FA24847099AC0A80135,78AF2FA24847094CC0A80135,9/30/2016,21.8214,21.6121,17.9373,11.8115,,,21.4907,21.1526,21.8955
410-5,X'78C546EE39EDE9FAC0A80119',78C546EE39EDE9FAC0A80119,6B843E7D39EDDCA9C0A80118,9/30/2016,25.1037,19.9615,22.3236,16.8848,19.3812,7.3038,24.0616,22.6048,21.8058
1602-8,X'78CA35A6459E895AC0A80134',78CA35A6459E895AC0A80134,9F3E029844F21065C0A80133,9/30/2016,12.6816,11.6306,8.9578,5.8678,,,13.1487,11.4683,12.4498
327-1,X'78CB154339D5D03EC0A80118',78CB154339D5D03EC0A80118,3A942E9C39D5CE17C0A80119,9/30/2016,5.3167,5.4784,6.6168,5.2569,6.243,4.3491,5.0685,4.7755,5.2874
1484-7,X'78CC3021482F1DADC0A80133',78CC3021482F1DADC0A80133,78B7619B43D4E241C0A80133,9/30/2016,33.0301,29.9923,22.7645,15.9457,,,32.1944,29.8775,32.4287
1797-1,X'78D0582B46D3BE0DC0A80133',78D0582B46D3BE0DC0A80133,7460582B46D3BD72C0A80133,9/30/2016,9.1509,9.2252,9.4188,9.5899,,,9.159,9.1669,9.2039
5395-1,X'78DC03284238CA0FC0A80133',78DC03284238CA0FC0A80133,78C603284238C9C6C0A80133,9/30/2016,30.5826,33.2917,27.6324,11.1878,10.5859,,30.2682,27.7666,37.3939
7958-2,X'78E208BE5696BBB8C0A86FA6',78E208BE5696BBB8C0A86FA6,757A68AC56955844C0A86FA6,9/30/2016,8.8737,,,,,,8.8109,8.6654,
8825-1,X'78ED2B71579D4A9AC0A86FA6',78ED2B71579D4A9AC0A86FA6,78E02B71579D4870C0A86FA6,9/30/2016,9.9903,,,,,,9.9928,,
8082-1,X'78F954304261EBF4C0A80132',78F954304261EBF4C0A80132,64F254304261E727C0A80132,9/30/2016,31.3635,29.6331,22.725,17.3088,10.0509,,29.9089,28.0852,28.226
996-15,X'790721E649F2F6A1C0A80134',790721E649F2F6A1C0A80134,5C414955425BFDB8C0A80133,9/30/2016,19.0161,16.9354,15.816,11.5031,,,18.5218,17.924,18.2442
3432-1,X'790C42C3535E54D1C0A86F99',790C42C3535E54D1C0A86F99,75F342C3535E5416C0A86F99,9/30/2016,9.7602,9.8585,,,,,9.7682,9.7848,9.8337
1519-15,X'791012E146133CCEC0A80133',791012E146133CCEC0A80133,CADB2D50442857DEC0A80133,9/30/2016,12.7336,11.2353,10.4814,8.3015,,,12.7933,12.4343,11.6481
6178-2,X'791374D84049B426C0A80132',791374D84049B426C0A80132,6007046A3A19E32FC0A801E0,9/30/2016,8.8181,8.9069,9.0869,9.2707,9.7463,,8.8253,8.8403,8.8845
2348-22,X'79153BBD52A8DD9AC0A86F8A',79153BBD52A8DD9AC0A86F8A,32A571234E3F4820C0A80133,9/30/2016,11.0873,10.7244,,,,,10.6246,10.1252,10.4775
6916-1,X'79175CA042F37357C0A80133',79175CA042F37357C0A80133,789D5CA042F372F3C0A80133,9/30/2016,53.4625,46.7412,31.2946,21.8212,13.0799,,51.617,46.1415,51.3148
4633-1,X'7925504F55675641C0A86FA6',7925504F55675641C0A86FA6,7916504F55675404C0A86FA6,9/30/2016,9.8664,9.9658,,,,,9.8745,9.8913,9.9407
977-14,X'792C034442E64413C0A80132',792C034442E64413C0A80132,9EAB06853B6B027FC0A80118,9/30/2016,14.703,13.4963,15.5414,15.8726,11.8669,,14.7752,14.8874,13.4336
7642-2,X'792C70E45658D5D9C0A86FA6',792C70E45658D5D9C0A86FA6,E72F6E2742D58597C0A80133,9/30/2016,5.1511,,,,,,5.2664,5.3737,7.4481
903-1,X'79325073423C4DD6C0A80134',79325073423C4DD6C0A80134,791C5073423C4D65C0A80134,9/30/2016,12.1598,8.7882,14.8022,15.9612,11.2372,,11.5971,11.5494,8.0356
7792-8,X'793409B241BEE23AC0A80132',793409B241BEE23AC0A80132,7E455CA4402C3580C0A80132,9/30/2016,12.9287,11.5309,11.6956,8.7841,11.1021,,12.6703,11.9767,11.9008
4253-1,X'7935489747255A73C0A80134',7935489747255A73C0A80134,79214897472559E4C0A80134,9/30/2016,9.1456,9.2377,9.4243,9.615,,,9.1531,9.1686,9.2145
1590-4,X'793A5A814E43CEBFC0A80134',793A5A814E43CEBFC0A80134,DCBC158244D3D2DBC0A80134,9/30/2016,13.9374,12.7058,12.8817,9.9863,,,13.4921,12.5233,13.5793
5039-1,X'793D4B4D39877DEDC0A80119',793D4B4D39877DEDC0A80119,77D74B4D39877B79C0A80119,9/30/2016,28.3774,27.0739,17.8055,14.1379,6.2333,3.6763,26.9208,24.4128,26.1156
1267-2,X'79441B543D81FD8AC0A80119',79441B543D81FD8AC0A80119,F85C378A3D2C6557C0A801E0,9/30/2016,25.3803,22.7937,18.1616,12.2718,19.5591,,25.472,23.875,24.1115
8295-4,X'794606C43D37F13AC0A801E0',794606C43D37F13AC0A801E0,AE256E6B3AC0A241C0A801E0,9/30/2016,14.4968,15.4185,13.9834,9.5082,16.3552,,14.3163,13.6091,16.4988
2833-1,X'794A069E52C17FB9C0A86F98',794A069E52C17FB9C0A86F98,6FCE069E52C17F61C0A86F98,9/30/2016,9.7895,9.8438,,,,,9.7961,9.8077,9.8316
6081-2,X'794B66643EEEC6BAC0A80134',794B66643EEEC6BAC0A80134,9A2909A33EE8D5C1C0A80134,9/30/2016,15.0711,12.4083,5.7236,4.7968,11.4334,,14.4055,13.4879,12.4081
3938-1,X'794F21DC5417E478C0A86F98',794F21DC5417E478C0A86F98,78FA21DC5417E426C0A86F98,9/30/2016,9.798,9.8967,,,,,9.806,9.8227,9.8718
2477-1,X'795F3CED4F900E5AC0A80135',795F3CED4F900E5AC0A80135,794B3CED4F900DFFC0A80135,9/30/2016,10.6949,10.6492,10.6532,,,,10.6812,10.534,10.6491
5814-4,X'79685B913A195334C0A80118',79685B913A195334C0A80118,041D234239E5A676C0A80118,9/30/2016,1.8394,2.0736,2.9031,1.7805,1.9703,2.5171,1.7723,1.7778,1.7429
7134-5,X'796B13AD439DA29CC0A80134',796B13AD439DA29CC0A80134,382723B242360FC9C0A80132,9/30/2016,6.9261,5.7764,6.7279,5.1124,10.3796,,6.7489,7.2253,6.667
5711-1,X'796F503C441C8862C0A80132',796F503C441C8862C0A80132,732B503C441C87C1C0A80132,9/30/2016,9.8332,10.4298,10.7849,8.8213,9.8296,,9.7457,9.0116,9.8492
3704-1,X'7973122A53CA0187C0A86F98',7973122A53CA0187C0A86F98,682F122A53CA0047C0A86F98,9/30/2016,9.7821,9.8807,,,,,9.7902,9.8068,9.8558
1485-5,X'79733470459BCBDAC0A80132',79733470459BCBDAC0A80132,A5746C7143D50781C0A80132,9/30/2016,17.6616,18.0146,18.118,10.6215,,,18.1403,17.5482,17.2697
1570-1,X'797748164499101EC0A80133',797748164499101EC0A80133,791C481644990F4AC0A80133,9/30/2016,41.9586,35.5307,34.9763,20.6121,11.7054,,39.8056,36.4234,37.6934
