"UPPER(SUBSTRING(fb_primarykey,3,24))","fund_id"
"DA932C2142C4BEA7C0A80133","1065-2"
"7318617643DECE7AC0A80133","1065-20"
"A69F688243E7065BC0A80133","1065-22"
"0E8A34F844A083D1C0A80133","1065-27"
"09682C2142C4C152C0A80133","1065-4"
"21BE2C2142C4C49CC0A80133","1065-6"
"23C82C2142C4C591C0A80133","1065-7"
"6C9A2C2142C4CB63C0A80133","1065-9"
"43CA09BF40514EE4C0A80134","1066-1"
"C5475F383BBD636EC0A801E1","1066-11"
"C6915F383BBD6890C0A801E1","1066-12"
"EA8F662B4D2B6DA0C0A80135","1066-17"
"F73C662B4D2B7069C0A80135","1066-18"
"A3A502F44D2C73DFC0A80133","1066-19"
"82BB1AB83F8A5BB4C0A80134","1066-2"
"C3B05F383BBD5A74C0A801E1","1066-9"
"AE084F5B41263347C0A80134","1067-1"
"DC4104CD41269846C0A80134","1067-2"
"ECB345773CFFF893C0A80118","1067-7"
"AC197475429DE131C0A80132","1068-1"
"9E4013DD5317A53BC0A86F99","1069-4"
"9F8D4563406005BAFFFFFFFF","107-1"
"CBAB0A2E4541A1B9C0A80133","107-2"
"DA601B1F3BBA8B31C0A80118","1070-1"
"2B2E4D61429FF0E6C0A80134","1071-1"
"8D41535D449828E2C0A80133","1071-10"
"2AD363B7484EA41CC0A80135","1071-13"
"ED4D381243B562BAC0A80134","1071-6"
"C0FA34D343CD3F90C0A80133","1071-7"
"9366575543D5B247C0A80134","1071-8"
"D4281BE43BBC774EC0A801E1","1072-1"
"C0731AE93BBC9021C0A801E1","1073-1"
"6A64026A3BC7274BC0A80119","1073-2"
"0EB1588442A71148C0A80133","1074-1"
"17B2423A42C5700BC0A80132","1074-3"
"6E8260CB4302287AC0A80132","1074-4"
"0E2A2A4443039BBDC0A80133","1074-5"
"E9EA68E44E7B9A5BC0A80135","1074-6"
"F7BC203D42ADD686C0A80133","1075-1"
"4F7E2AA743307AE5C0A80132","1075-7"
"3B3A08B342A8B20EC0A80134","1076-1"
"9B515F2443EF67B1C0A80132","1076-10"
"BE9C1D60440E04E3C0A80133","1076-11"
"1103092B443E983CC0A80134","1076-12"
"9EB6698842E69FDBC0A80133","1076-3"
"91C44DD742E92090C0A80134","1076-4"
"1017332E43024854C0A80134","1076-5"
"9E0C57F5430257ABC0A80132","1076-6"
"69A32BDA43078775C0A80133","1076-7"
"A63A4CA6432F2426C0A80133","1076-8"
"85B713FD43BD5F31C0A80134","1076-9"
"AADA2C2342AA186BC0A80132","1077-1"
"431D0EE73F5E5048C0A80132","1078-1"
"A03838004068AF2CFFFFFFFF","1078-2"
"06C9509A40109D50C0A80132","1078-3"
"D6E153464010BB71C0A80133","1078-4"
"CE414857403A4D27C0A80133","1078-5"
"4CD32D6C3D63DE99C0A801E0","1078-6"
"430A102F572A4B3EC0A86FA6","1079-10"
"EB0A71953BC25830C0A801E0","1079-2"
"678440323EEB9C81C0A80134","108-1"
"43196C454F669BD9C0A80132","1080-15"
"42634A6D3BC242FBC0A801E1","1081-1"
"84196D3F3BC25CECC0A801E1","1082-1"
"D93B17064EAF05E3C0A80134","1082-4"
"4C9267D64F230AAFC0A80135","1082-5"
"347F2A523BC25ED9C0A801E1","1083-2"
"CD3371E63E15C535C0A80132","1083-4"
"F1EF71E63E15C86CC0A80132","1083-5"
"77E12DA13E1985D5C0A80132","1083-6"
"45F645053E22E935C0A80135","1083-8"
"27396A0B42AFB156C0A80133","1084-1"
"6DBA735F42B0CC66C0A80132","1085-1"
"A98E2E05433B6EA7C0A80134","1085-12"
"5EED147C4370B6F8C0A80134","1085-16"
