X'045900af3aa7f871c0a801e0'
X'b76f03c7452bba15c0a80134'
X'bbbe00f644b07e60c0a80133'
X'bd8000f143fd939dc0a80134'
X'bdae228143fbea64c0a80132'
X'c0364e894380de62c0a80132'
X'c3254b1a44c9285dc0a80134'
X'c3a30c6a43caadf2c0a80132'
X'c5af5c8d49441d49c0a80132'
X'c62846d63b983e6dc0a80119'
X'c81e25913e2caffdc0a80135'
X'c9c3662a439a1f20c0a80134'
X'cca31d14477acc35c0a80134'
X'ccef6e7842baf04bc0a80132'
X'cd563776447a3dedc0a80134'
X'cd721d55422408cbc0a80134'
X'cd87345d3e528d7bc0a80135'
X'cdac674b4240e11cc0a80133'
X'd16e1077416297c2c0a80132'
X'd49f617d4504b52cc0a80132'
X'daab3edc39fcd752c0a80119'
X'db4e1a893e159079c0a80133'
X'db8033284e14614cc0a80135'
X'ddb82eba46fe35c8c0a80133'
X'e087453f478d77c5c0a80133'
X'e14e03c1452bba11c0a80133'
X'e4d903f743aace65c0a80132'
X'e578117e43ae1208c0a80134'
X'e5c6523a46efdd8ac0a80134'
X'e6b46e1743286981c0a80134'
X'e74269ac3b837830c0a801e0'
X'e744667455c91433c0a86fa6'
X'e85a06a9421671a9c0a80132'
X'e8e50c413e9b467ec0a80133'
X'e9800c2241f3e3a8c0a80132'
X'eb3636fb43a97c81c0a80134'
X'ef2d1bb747fb2097c0a80133'
X'f2bf223043970a89c0a80133'
X'f4221ad73d43762ac0a801e0'
X'f79b66e64a048b03c0a80135'
X'f9e1633141be60b9c0a80133'
X'f9f671c239ed9849c0a801e1'
X'fc8a4df643b84906c0a80134'
